asset_id,attribute_count,attribute_count_rarity_score,Earring_attribute,Earring_rarity_score,Background_attribute,Background_rarity_score,Fur_attribute,Fur_rarity_score,Clothes_attribute,Clothes_rarity_score,Mouth_attribute,Mouth_rarity_score,Eyes_attribute,Eyes_rarity_score,Hat_attribute,Hat_rarity_score,overall_rarity_score
0,18,5000.0,Silver Hoop,11.312217194570135,Orange,7.830853563038371,Robot,36.90036900369004,Striped Tee,24.154589371980677,Discomfort,47.61904761904761,X Eyes,40.816326530612244,,4.440497335701599,5173.0739006186395
1,15,3333.3333333333335,,1.424298532972511,Orange,7.830853563038371,Robot,36.90036900369004,Vietnam Jacket,44.24778761061947,Grin,13.986013986013987,Blue Beams,196.078431372549,,4.440497335701599,3638.241584737919
2,15,3333.3333333333335,,1.424298532972511,Aquamarine,7.886435331230284,Robot,36.90036900369004,,5.324813631522897,Bored Cigarette,14.04494382022472,3d,20.449897750511248,Sea Captain's Hat,32.67973856209151,3452.043829965577
3,15,3333.3333333333335,,1.424298532972511,Purple,7.733952049497293,Cheetah,24.509803921568626,Bone Necklace,48.78048780487805,Tongue Out,49.01960784313725,Bored,5.827505827505828,,4.440497335701599,3475.069486648595
4,18,5000.0,,1.424298532972511,Blue,8.038585209003216,Golden Brown,12.820512820512821,Navy Striped Tee,29.761904761904763,Phoneme L,41.1522633744856,Closed,14.04494382022472,Party Hat 2,91.74311926605505,5198.985627785159
5,6,1.8793459875963163,,1.424298532972511,Army Green,8.045052292839904,Brown,7.2992700729927,Bayc T Red,71.42857142857143,Dumbfounded,19.801980198019802,X Eyes,40.816326530612244,Bayc Flipped Brim,43.29004329004329,193.9848883336482
6,6,1.8793459875963163,,1.424298532972511,Yellow,7.79423226812159,Cream,15.723270440251572,Tweed Suit,70.92198581560284,Bored,4.401408450704225,Crazy,24.57002457002457,S&m Hat,42.5531914893617,169.26775755463532
7,6,1.8793459875963163,,1.424298532972511,Gray,8.547008547008547,Golden Brown,12.820512820512821,Wool Turtleneck,41.666666666666664,Bored,4.401408450704225,Angry,23.148148148148145,Stuntman Helmet,63.69426751592357,157.5816566695328
8,6,1.8793459875963163,Gold Stud,22.779043280182233,Aquamarine,7.886435331230284,Zombie,33.11258278145695,,5.324813631522897,Bored,4.401408450704225,Robot,28.57142857142857,Beanie,17.301038062283737,121.25609609640522
9,7,5.310674455655868,Silver Stud,12.150668286755772,Purple,7.733952049497293,Brown,7.2992700729927,Stunt Jacket,56.17977528089888,Small Grin,36.76470588235294,Sleepy,13.315579227696405,Seaman's Hat,23.809523809523807,162.56414906537367
10,6,1.8793459875963163,,1.424298532972511,Aquamarine,7.886435331230284,Dmt,46.51162790697675,Navy Striped Tee,29.761904761904763,Bored,4.401408450704225,Eyepatch,30.030030030030026,Bayc Hat Red,84.03361344537815,205.92866444679305
11,6,1.8793459875963163,,1.424298532972511,Gray,8.547008547008547,Dark Brown,7.396449704142013,Smoking Jacket,45.24886877828054,Bored Unshaven Cigarette,22.831050228310502,Bloodshot,11.82033096926714,Laurel Wreath,138.88888888888889,238.03624163646646
12,6,1.8793459875963163,,1.424298532972511,Army Green,8.045052292839904,Brown,7.2992700729927,Black Holes T,48.78048780487805,Discomfort,47.61904761904761,Wide Eyed,18.214936247723134,Seaman's Hat,23.809523809523807,157.07196236757403
13,6,1.8793459875963163,,1.424298532972511,Yellow,7.79423226812159,Black,8.136696501220504,Bone Tee,43.47826086956522,Bored,4.401408450704225,Coins,20.876826722338205,Police Motorcycle Helmet,76.92307692307692,164.91414625559548
14,6,1.8793459875963163,Diamond Stud,45.04504504504504,Orange,7.830853563038371,Cheetah,24.509803921568626,Tanktop,42.5531914893617,Small Grin,36.76470588235294,3d,20.449897750511248,,4.440497335701599,183.4733409751758
15,6,1.8793459875963163,,1.424298532972511,Gray,8.547008547008547,Gray,20.161290322580644,Black T,29.940119760479043,Phoneme L,41.1522633744856,Zombie,32.467532467532465,Girl's Hair Pink,95.23809523809523,230.80995423075035
16,7,5.310674455655868,Silver Hoop,11.312217194570135,Purple,7.733952049497293,Dark Brown,7.396449704142013,Bone Necklace,48.78048780487805,Dumbfounded,19.801980198019802,Bored,5.827505827505828,Horns,39.682539682539684,145.84580691680867
17,7,5.310674455655868,Gold Stud,22.779043280182233,New Punk Blue,8.116883116883116,Tan,15.974440894568689,Bayc T Black,46.51162790697675,Bored Unshaven,6.447453255963895,Closed,14.04494382022472,Commie Hat,32.89473684210526,152.07980357256054
