asset_id,attribute_count,attribute_count_rarity_score,DNA_attribute,DNA_rarity_score,Eye_Color_attribute,Eye_Color_rarity_score,Clothing_attribute,Clothing_rarity_score,Jewelry_attribute,Jewelry_rarity_score,Type_attribute,Type_rarity_score,Hair_attribute,Hair_rarity_score,Back_attribute,Back_rarity_score,Mouth_attribute,Mouth_rarity_score,Accessories_attribute,Accessories_rarity_score,Eyewear_attribute,Eyewear_rarity_score,Facial_Feature_attribute,Facial_Feature_rarity_score,Helmet_attribute,Helmet_rarity_score,overall_rarity_score
1,16,0.0,Human,0.0,BLU-PURP,0.0,JELLYFISH BLW UP JCKT,0.0,GLD Iced Cuban,0.0,ARTIST EDITION,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
2,16,0.0,Murakami,0.0,YLLW Breezy,0.0,WHT Jellyfish Tee,0.0,VVS PANDA,0.0,ARTIST EDITION,0.0,LoneSome Cowboy,0.0,SPLASH,0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
3,16,0.0,Murakami,0.0,RNBW,0.0,RTFKT x TM RNBW FLOWER PFA,0.0,,-0.0,ARTIST EDITION,0.0,PURP KO2 Tiara,0.0,GRN UNDRWRLD WINGZ,0.0,Tan Tan Bo,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
4,18,0.0,Murakami,0.0,WIDE-OPEN,0.0,JELLYFISH BLW UP JCKT,0.0,VVS PANDA,0.0,ARTIST EDITION,0.0,BLU OCTOPUS,0.0,PNK UNDRWRLD WINGZ,0.0,Cigar,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
5,18,0.0,Murakami,0.0,AWAKEN,0.0,RTFKT x TM RNBW FLOWER PFA,0.0,VVS PANDA,0.0,ARTIST EDITION,0.0,DOB Hat,0.0,SPLASH,0.0,Organism M78.8,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
6,20,0.0,Murakami,0.0,SPINNING,0.0,JELLYFISH BLW UP JCKT,0.0,VVS PANDA,0.0,ARTIST EDITION,0.0,WHT OCTOPUS,0.0,,-0.0,Tan Tan Bo,0.0,VVS STUD,0.0,OTT Future Vision,0.0,,-0.0,,-0.0,0.0
7,20,0.0,Murakami,0.0,RNBW,0.0,WHT Jellyfish Tee,0.0,VVS PANDA,0.0,ARTIST EDITION,0.0,,-0.0,SPLASH,0.0,,-0.0,,-0.0,3RD Eye,0.0,,-0.0,,-0.0,0.0
8,12,0.0,Human,0.0,PNK,0.0,IRI BLW UP JCKT,0.0,,-0.0,,-0.0,BRWN 1 Horn,0.0,,-0.0,INFCTD,0.0,,-0.0,Drip Scouter,0.0,,-0.0,,-0.0,0.0
9,12,0.0,Robot,0.0,,-0.0,GRDNT PFA JCKT,0.0,,-0.0,MK1,0.0,RD DRDZ,0.0,,-0.0,GLD GRILLS,0.0,Cross Earring,0.0,,-0.0,,-0.0,,-0.0,0.0
10,10,0.0,Human,0.0,YLLW Breezy,0.0,HVY MTL HOODIE,0.0,,-0.0,MURAKAMI DRIP,0.0,,-0.0,,-0.0,Jagged RNBW,0.0,,-0.0,,-0.0,,-0.0,,-0.0,0.0
