asset_id,attribute_count,attribute_count_rarity_score,Background_attribute,Background_rarity_score,Body_attribute,Body_rarity_score,Body_Grade_attribute,Body_Grade_rarity_score,Head_attribute,Head_rarity_score,Head_Grade_attribute,Head_Grade_rarity_score,Mouth_attribute,Mouth_rarity_score,Mouth_Grade_attribute,Mouth_Grade_rarity_score,Nose_attribute,Nose_rarity_score,Nose_Grade_attribute,Nose_Grade_rarity_score,Eyes_attribute,Eyes_rarity_score,Eyes_Grade_attribute,Eyes_Grade_rarity_score,overall_rarity_score
1,11,1.0,Orange,3.3875338753387534,Red Baseball,39.682539682539684,Damaged,2.881014116969173,Mullet,30.674846625766875,Rotten,3.897116134060795,Grimace,12.345679012345679,Fresh,2.5106703489831785,Nose Skull,4.043671653861707,Rotten,4.042037186742118,Lazy,16.835016835016834,Damaged,2.834467120181406,124.13459259180621
2,11,1.0,Blue,3.2927230819888043,Tee With Vest,42.73504273504273,Damaged,2.881014116969173,Bouffant,27.700831024930746,Fresh,2.5614754098360653,Smiley,12.836970474967908,Damaged,2.8368794326241136,Nose Ring,4.990019960079841,Fresh,2.463661000246366,Moody,18.975332068311197,Fresh,2.531645569620253,124.80559487461719
3,11,1.0,Blue,3.2927230819888043,Tee With Vest,42.73504273504273,Rotten,4.033884630899556,Slick,32.05128205128205,Fresh,2.5614754098360653,Bulldog,12.970168612191959,Fresh,2.5106703489831785,Nose Broken,5.837711617046118,Damaged,2.884338044418806,Worried,17.88908765652952,Fresh,2.531645569620253,130.29802975783906
4,11,1.0,Orange,3.3875338753387534,Red Tracksuit,40.983606557377044,Fresh,2.4691358024691357,Cornrows,27.77777777777778,Rotten,3.897116134060795,Toothy,13.36898395721925,Rotten,4.012841091492777,Nose Skull,4.043671653861707,Rotten,4.042037186742118,White Glasses,18.552875695732837,Damaged,2.834467120181406,126.3700468522536
5,11,1.0,Orange,3.3875338753387534,Red Bow Tie,41.32231404958678,Damaged,2.881014116969173,Mohawk,29.498525073746315,Damaged,2.8328611898017,Grimace,12.345679012345679,Damaged,2.8368794326241136,Nose Normal,4.8732943469785575,Fresh,2.463661000246366,Reptile,17.6056338028169,Fresh,2.531645569620253,123.57904147007459
6,11,1.0,Blue,3.2927230819888043,Silver Puffer,41.49377593360996,Rotten,4.033884630899556,Bantu Knot,29.15451895043732,Damaged,2.8328611898017,Mo,13.297872340425531,Fresh,2.5106703489831785,Nose Skull,4.043671653861707,Rotten,4.042037186742118,Bright,17.793594306049823,Fresh,2.531645569620253,126.02725519241996
7,11,1.0,Orange,3.3875338753387534,Blue Tracksuit,41.666666666666664,Damaged,2.881014116969173,Beret,30.3030303030303,Damaged,2.8328611898017,Snarl,12.594458438287154,Fresh,2.5106703489831785,Nose Skull,4.043671653861707,Rotten,4.042037186742118,Lazy,16.835016835016834,Rotten,3.965107057890563,126.06206767258816
8,11,1.0,Charcoal,9.9601593625498,Sand Camo Jacket,42.37288135593221,Fresh,2.4691358024691357,Curtains,30.211480362537767,Fresh,2.5614754098360653,Lips,13.157894736842106,Fresh,2.5106703489831785,Nose Skull,4.043671653861707,Rotten,4.042037186742118,Dead,17.73049645390071,Damaged,2.834467120181406,132.8943697938362
9,11,1.0,Pink,6.644518272425249,Spotty Fur,48.07692307692308,Damaged,2.881014116969173,Orange Bucket,28.73563218390805,Damaged,2.8328611898017,Fang,12.376237623762377,Damaged,2.8368794326241136,Nose Normal,4.8732943469785575,Fresh,2.463661000246366,Spooky,17.761989342806395,Fresh,2.531645569620253,133.0146561560653
10,11,1.0,Blue,3.2927230819888043,Green Flannel,41.84100418410041,Damaged,2.881014116969173,Space Buns,28.901734104046245,Damaged,2.8328611898017,Toothy,13.36898395721925,Fresh,2.5106703489831785,Nose Bleeding,5.701254275940707,Damaged,2.884338044418806,Thick Rim,17.921146953405017,Damaged,2.834467120181406,125.9701973770547
