transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0xaa0886a075bbb12a7b4c2396de162358830d7a0d156b23c859b52f88ef46cfd3,14471228,2022-03-27,17452,0xd40e5fca6130c58d75824dc2e3aedf88c5274813,0x7f9806b2ef99bf973bc12a487cac784b00730a11,0xd40e5fca6130c58d75824dc2e3aedf88c5274813,0x7f9806b2ef99bf973bc12a487cac784b00730a11,18.0,56535.762789115935
0xb26d28d57a1238feaf808e2ca29b8fe1e531b4a3c70c6a4e9b916318e3493d3d,14471175,2022-03-27,17264,0x8b4ad8680a98b3dc0210eb4f21a69124211346e5,0xc4b660e6b510d8626df4d81d838b84d73b561d4e,0x8b4ad8680a98b3dc0210eb4f21a69124211346e5,0xc4b660e6b510d8626df4d81d838b84d73b561d4e,14.9,46799.04808654597
0xe40febb355a736c10da856f21adf66dde3642f47354f1b739e1f7f65d0aee1b7,14471085,2022-03-27,17898,0x0a758c20b11d51e18b061e3b5444f79ee0aa67f6,0x8ad52c3ab4233341f7a5b25dd0ebc4dcc26c53ee,0x0a758c20b11d51e18b061e3b5444f79ee0aa67f6,0x8ad52c3ab4233341f7a5b25dd0ebc4dcc26c53ee,55.0,172748.16407785425
0x83683a257b5490b1d4742023e27588ac3728076259ea9a72a484d62267211816,14470999,2022-03-27,11345,0xabfa1be33be0bd04d2f08dfd2691b2a313b7dac4,0x4df323b13f3d39183b6e40573600c10ea2f4ed57,0xabfa1be33be0bd04d2f08dfd2691b2a313b7dac4,0x4df323b13f3d39183b6e40573600c10ea2f4ed57,14.9,46799.04808654597
0x61b7dac2d87046eed6b35efef11a5b4f3364fcb16d3b28553c862f12e499eb8a,14470835,2022-03-27,8232,0xcf20d98033a4d633252c7de21f8cbfacc62c394e,0x3a4c3f00d216fcc47ac8ef18efbfa8ad7e3cb92f,0xcf20d98033a4d633252c7de21f8cbfacc62c394e,0x3a4c3f00d216fcc47ac8ef18efbfa8ad7e3cb92f,15.0,47113.13565759661
0x996990118286552268bb59c6d2883feba4649503739cb8a9f15cad74a9b65b92,14470784,2022-03-27,12625,0xb73c6dd54f3d1723d7d76cf230175b9100c36915,0xf3dc27a890737d262079d71d488ee98f7abb177c,0xb73c6dd54f3d1723d7d76cf230175b9100c36915,0xf3dc27a890737d262079d71d488ee98f7abb177c,16.0,50254.011368103056
0x3afd9f8fa4025bb708133bad51b2a25ec800adf699f667579cb3b7383ff5b4e1,14470633,2022-03-27,13138,0x42f3f76ba5202d7a4c48fd428b5613c657689bcc,0x912ee2f9e2cf1330b1cb6c5636a556bb03141e20,0x42f3f76ba5202d7a4c48fd428b5613c657689bcc,0x912ee2f9e2cf1330b1cb6c5636a556bb03141e20,15.4269,48453.97549841181
0xa61c029d99dcf55d71cfa0c6e887d204bcbf7c764c88148ac1ab6c584faad284,14470508,2022-03-27,141,0x5cb68cd0d285a907b927a7db534d89718addfd86,0x4cbef3e46d62fa5387d222d191cd5aa50a46d163,0x5cb68cd0d285a907b927a7db534d89718addfd86,0x4cbef3e46d62fa5387d222d191cd5aa50a46d163,24.0,75381.01705215458
0x7c5f772bdf1f7192300238dd6337836a50b5107cdc8936633d5dc06b47f14353,14470407,2022-03-27,8637,0x1ad4fb4852d257987fd43613febe787f5535af47,0x394dd8a20b32b0eee872c6f65334fedf29dfdc22,0x1ad4fb4852d257987fd43613febe787f5535af47,0x394dd8a20b32b0eee872c6f65334fedf29dfdc22,14.95,46956.091872071294
0x25eabc25d934ac0be0dc92a924ade86b3b49eb788deffa7f18c3147f17627360,14470099,2022-03-27,16896,0x4cbef3e46d62fa5387d222d191cd5aa50a46d163,0x69de675918a5b4797566b02d1bcb50ac4151073b,0x69de675918a5b4797566b02d1bcb50ac4151073b,0x4cbef3e46d62fa5387d222d191cd5aa50a46d163,13.9,43658.17237603953
0x36670f4d585c38c614a97a05cf8f76242634552ed50c25e38d38d4a157e7fe6d,14469699,2022-03-27,13432,0x4cbef3e46d62fa5387d222d191cd5aa50a46d163,0xe39a4b4ee4164254b53eaa508024398e3d01af01,0x4cbef3e46d62fa5387d222d191cd5aa50a46d163,0xe39a4b4ee4164254b53eaa508024398e3d01af01,14.5,45542.69780234339
0x96b0c07515b4a235c333081396932903852b83e1ddbbed0d8e90d7c0b7999a2a,14469662,2022-03-27,8185,0xcf20d98033a4d633252c7de21f8cbfacc62c394e,0xbcc318818da64c0873078f856e5e30bd5c04d305,0xcf20d98033a4d633252c7de21f8cbfacc62c394e,0xbcc318818da64c0873078f856e5e30bd5c04d305,15.0,47113.13565759661
0xe4cacb6b10416a96fe9c48a5085e164ebbaeafe27b68b1ff694d201fae4be956,14469402,2022-03-27,18735,0x349eb07248bb533799516806f4a3b2594215ebc1,0xa5dee9b883ea0b6729bd95e707cf7be315ba44a2,0x349eb07248bb533799516806f4a3b2594215ebc1,0xa5dee9b883ea0b6729bd95e707cf7be315ba44a2,19.5,61247.0763548756
0xa3db350afe6a3b0565aa4477a133171d32137eeba1ca35e4b5b07f408798f9f8,14469339,2022-03-27,9582,0x17ce383a3cc60cd9a745edc610ddd809f51915fb,0x8755cd0a330b78b225ba1bf03f1b5f077964d81d,0x17ce383a3cc60cd9a745edc610ddd809f51915fb,0x8755cd0a330b78b225ba1bf03f1b5f077964d81d,15.0,47113.13565759661
0x6b515349b30e219a7fdf19340e1f5ad2bc2b356e1a71f58a08588a915ecc3c19,14469185,2022-03-27,7641,0xc670d2a9c2b7c4910160625323e747480aeae584,0x6ae61f9d7c3fd9938c6290e1cbf39c017662e488,0xc670d2a9c2b7c4910160625323e747480aeae584,0x6ae61f9d7c3fd9938c6290e1cbf39c017662e488,16.75,52609.668150982885
0xc19c0c5c3c13546f6f121c4e6a6edf644a20832d2dd6c0b227401ebc44f6b2a5,14468941,2022-03-27,6160,0x0dad981afa4ef7f4b2e09a3fb41323501f80c7e5,0x31231036ed51376a70b3824d7da1a4e036def5a4,0x31231036ed51376a70b3824d7da1a4e036def5a4,0x0dad981afa4ef7f4b2e09a3fb41323501f80c7e5,15.0,47113.13565759661
0x2995d5ef5d4d1eb3b5582f9e0ec878bd5b4ed40e08a43f6b277819f628672dbc,14468612,2022-03-27,5067,0x67eb0b7bbe5eec90b5c3d230954866b529116f68,0x7f9806b2ef99bf973bc12a487cac784b00730a11,0x67eb0b7bbe5eec90b5c3d230954866b529116f68,0x7f9806b2ef99bf973bc12a487cac784b00730a11,15.88,49877.10628284229
0x7870f22facca6fa68d48c1c14dd8640e1ef03ee7f4e4d12270b561029fffd87c,14467578,2022-03-27,8596,0x1ae6a4d3078b951438d1aa64de6c1e4e033913d6,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0x1ae6a4d3078b951438d1aa64de6c1e4e033913d6,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,15.0,47113.13565759661
0x7afa3e3657297347c10da0664c6b5f25581f2a8c92d8467359115bf4e914b477,14467308,2022-03-27,15824,0x38a4d889a1979133fbc1d58f970f0953e3715c26,0x01bac761a19476f68956c9667671f13417a1071a,0x38a4d889a1979133fbc1d58f970f0953e3715c26,0x01bac761a19476f68956c9667671f13417a1071a,17.0,53394.8870786095
0xd6377b2dc304f3b0a88c7b2e1a33f8286dc193b00f9ea763c1c1d751742e4169,14467293,2022-03-27,4997,0x9699951cf6f7e6aadae4dba83bb06c5fd7585bf0,0x90ced271b72faaae3ed3a3644439dcb59e958fe5,0x9699951cf6f7e6aadae4dba83bb06c5fd7585bf0,0x90ced271b72faaae3ed3a3644439dcb59e958fe5,20.75,65173.17099300865
0xcae251d4c9bd92fad19704da4c90221e7339ddf226f250150a049065c94af661,14467270,2022-03-27,10225,0x5b00f3d1644ff3106248b2c50505a67abf31efff,0x8c8160d81693b54e605d528d5a474e3b9dabf794,0x5b00f3d1644ff3106248b2c50505a67abf31efff,0x8c8160d81693b54e605d528d5a474e3b9dabf794,15.5,48683.573512849835
0x6aa0a6377bc2397c6480b29a908b3704bcc88e6543a6198d3ca1d463c19cd7fe,14467021,2022-03-27,125,0x0e2aff7fdda255a5b710f910a9b8d727b25b9b2c,0xec7100abdbcf922f975148c6516bc95696ca0ef6,0x0e2aff7fdda255a5b710f910a9b8d727b25b9b2c,0xec7100abdbcf922f975148c6516bc95696ca0ef6,16.5,51824.44922335628
0x0d60e460f30eb156ca961202215fc2196736a05f9fdd96c97cdd9ea3da80a313,14467001,2022-03-27,7832,0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0x3260c6bca1da6ccf380c1c99c7fee50115ed40c7,0x07cbd4e4473140b6078aa987907aaff5e500b9f1,0x3260c6bca1da6ccf380c1c99c7fee50115ed40c7,15.0,47113.13565759661
0x88a296c1e54afbb3cf0c896421e1fdaf4d616ddaa4fefb8c79b682ceada002a3,14466786,2022-03-27,12668,0x675ebc88bd62310a49762722fc0cf3a725c02e6e,0xe2c8f362154aace6144cb9d96f45b9568e0ea721,0x675ebc88bd62310a49762722fc0cf3a725c02e6e,0xe2c8f362154aace6144cb9d96f45b9568e0ea721,15.0,47113.13565759661
0x30ac35909cc96891e6b4639a88bf1ccb2eb5cf4229c153d365a7ecfca70fcf40,14466732,2022-03-27,14918,0x5ac7983a4faafbee0150a8bf8100960887f1b102,0x9bb1d0cfe96e22830079dad7d589bb011769ee51,0x5ac7983a4faafbee0150a8bf8100960887f1b102,0x9bb1d0cfe96e22830079dad7d589bb011769ee51,16.0,50254.011368103056
0x7e1e922e71a109ba2adb7d1b8f6a6be9de692c4e849f55981b52cd7b01b1b491,14466689,2022-03-27,2193,0x38a4d889a1979133fbc1d58f970f0953e3715c26,0xb358dc4d553a54c6efd2faeae7dee2b9361cab6b,0x38a4d889a1979133fbc1d58f970f0953e3715c26,0xb358dc4d553a54c6efd2faeae7dee2b9361cab6b,17.0,53394.8870786095
0xcaf833644f7f7282611f40af1b357a9c5450df8da4fe449a1d67ec7080acc928,14466410,2022-03-27,14976,0x9d4cd15587790d70e233d5317ee14345d115e08d,0x6b7c2bb13ac95b43be2685c20cf94680efee34fe,0x9d4cd15587790d70e233d5317ee14345d115e08d,0x6b7c2bb13ac95b43be2685c20cf94680efee34fe,17.0,53394.8870786095
0x16618c4348f6bde9910f05f7fccf72238b3b36f7e412c4764b465f28793e93b8,14466386,2022-03-27,4514,0x99b476d2d2a1d13b81454a11c81ab8211b18902d,0x3311218df25cb20b2b994a94745a650ac815fb2f,0x99b476d2d2a1d13b81454a11c81ab8211b18902d,0x3311218df25cb20b2b994a94745a650ac815fb2f,45.5,142909.84482804307
0x7e9bd681f544f6861bc2a6c95b4f9f32ec2a2ed805aa13b3b41dba2b374971ca,14466336,2022-03-27,9667,0x01bac761a19476f68956c9667671f13417a1071a,0x3311218df25cb20b2b994a94745a650ac815fb2f,0x01bac761a19476f68956c9667671f13417a1071a,0x3311218df25cb20b2b994a94745a650ac815fb2f,20.0,62817.51421012882
0x173d1dec13627670691f624120ffb916a6c18a165dd1c1d84d4a091923c03fb7,14466308,2022-03-27,3895,0xa6b2af45a4f255c0ab1324c5adfc379634bffcdb,0x7f9806b2ef99bf973bc12a487cac784b00730a11,0xa6b2af45a4f255c0ab1324c5adfc379634bffcdb,0x7f9806b2ef99bf973bc12a487cac784b00730a11,15.45,48526.52972732451
0x64941d9f2dd2106456c6917ff4cedfe56fb487096505a81fe0b6ecbfea8f1664,14466296,2022-03-27,2974,0x9bb1d0cfe96e22830079dad7d589bb011769ee51,0x3311218df25cb20b2b994a94745a650ac815fb2f,0x9bb1d0cfe96e22830079dad7d589bb011769ee51,0x3311218df25cb20b2b994a94745a650ac815fb2f,21.0,65958.38992063527
0xfb7dd5f89f54ea6c050fec9be5313db814c7f418ade6f2fc859e28ddbeb3f9a8,14466293,2022-03-27,1457,0xc096d12ba884bba6888955b5013cb92b4ab19806,0x8d286c2b4a09b877781aa500a3eba5a4d14fb7eb,0x8d286c2b4a09b877781aa500a3eba5a4d14fb7eb,0xc096d12ba884bba6888955b5013cb92b4ab19806,23.0,72240.14134164814
